utt_id,wav_path,phone_len,romaji_len,devo_count,audio_dur_s,strata_group,split
BASIC5000_0001,data/jsut_ver1.1/basic5000/wav/BASIC5000_0001.wav,42,25,2,3.19,2,train
BASIC5000_0002,data/jsut_ver1.1/basic5000/wav/BASIC5000_0002.wav,57,35,1,4.9,3,train
BASIC5000_0003,data/jsut_ver1.1/basic5000/wav/BASIC5000_0003.wav,47,30,3,3.82,2,train
BASIC5000_0004,data/jsut_ver1.1/basic5000/wav/BASIC5000_0004.wav,34,22,2,3.18,1,train
BASIC5000_0005,data/jsut_ver1.1/basic5000/wav/BASIC5000_0005.wav,44,28,2,3.69,2,val
BASIC5000_0006,data/jsut_ver1.1/basic5000/wav/BASIC5000_0006.wav,33,21,2,2.88,1,val
BASIC5000_0007,data/jsut_ver1.1/basic5000/wav/BASIC5000_0007.wav,30,16,0,2.59,1,train
BASIC5000_0008,data/jsut_ver1.1/basic5000/wav/BASIC5000_0008.wav,46,28,1,5.059291666666667,2,train
BASIC5000_0009,data/jsut_ver1.1/basic5000/wav/BASIC5000_0009.wav,36,21,1,3.02,1,train
BASIC5000_0010,data/jsut_ver1.1/basic5000/wav/BASIC5000_0010.wav,49,32,2,3.99,2,train
BASIC5000_0011,data/jsut_ver1.1/basic5000/wav/BASIC5000_0011.wav,47,27,1,3.58,2,train
BASIC5000_0012,data/jsut_ver1.1/basic5000/wav/BASIC5000_0012.wav,41,24,1,3.46,2,val
BASIC5000_0013,data/jsut_ver1.1/basic5000/wav/BASIC5000_0013.wav,49,30,1,3.91,2,train
BASIC5000_0014,data/jsut_ver1.1/basic5000/wav/BASIC5000_0014.wav,41,25,2,3.34,2,train
BASIC5000_0015,data/jsut_ver1.1/basic5000/wav/BASIC5000_0015.wav,41,24,0,3.47,2,train
BASIC5000_0016,data/jsut_ver1.1/basic5000/wav/BASIC5000_0016.wav,38,25,4,3.13,1,train
BASIC5000_0017,data/jsut_ver1.1/basic5000/wav/BASIC5000_0017.wav,35,21,0,2.82,1,train
BASIC5000_0018,data/jsut_ver1.1/basic5000/wav/BASIC5000_0018.wav,32,18,0,2.8,1,train
BASIC5000_0019,data/jsut_ver1.1/basic5000/wav/BASIC5000_0019.wav,47,31,5,3.59,2,test
BASIC5000_0020,data/jsut_ver1.1/basic5000/wav/BASIC5000_0020.wav,33,19,0,3.8,1,train
BASIC5000_0021,data/jsut_ver1.1/basic5000/wav/BASIC5000_0021.wav,36,21,0,3.14,1,val
BASIC5000_0022,data/jsut_ver1.1/basic5000/wav/BASIC5000_0022.wav,37,21,0,3.63,1,train
BASIC5000_0023,data/jsut_ver1.1/basic5000/wav/BASIC5000_0023.wav,35,22,1,3.13,1,train
BASIC5000_0024,data/jsut_ver1.1/basic5000/wav/BASIC5000_0024.wav,75,48,3,6.98,4,train
BASIC5000_0025,data/jsut_ver1.1/basic5000/wav/BASIC5000_0025.wav,33,19,0,3.1,1,train
BASIC5000_0026,data/jsut_ver1.1/basic5000/wav/BASIC5000_0026.wav,62,38,4,4.67,3,train
BASIC5000_0027,data/jsut_ver1.1/basic5000/wav/BASIC5000_0027.wav,38,25,2,3.17,1,train
BASIC5000_0028,data/jsut_ver1.1/basic5000/wav/BASIC5000_0028.wav,44,26,0,3.52,2,val
BASIC5000_0029,data/jsut_ver1.1/basic5000/wav/BASIC5000_0029.wav,63,39,4,4.6,3,train
BASIC5000_0030,data/jsut_ver1.1/basic5000/wav/BASIC5000_0030.wav,40,22,0,3.06,2,train
BASIC5000_0031,data/jsut_ver1.1/basic5000/wav/BASIC5000_0031.wav,54,32,1,4.12,3,train
BASIC5000_0032,data/jsut_ver1.1/basic5000/wav/BASIC5000_0032.wav,38,22,1,3.02,1,test
BASIC5000_0033,data/jsut_ver1.1/basic5000/wav/BASIC5000_0033.wav,38,21,1,2.81,1,test
BASIC5000_0034,data/jsut_ver1.1/basic5000/wav/BASIC5000_0034.wav,37,26,3,2.85,1,train
BASIC5000_0035,data/jsut_ver1.1/basic5000/wav/BASIC5000_0035.wav,124,79,6,9.92,4,train
BASIC5000_0036,data/jsut_ver1.1/basic5000/wav/BASIC5000_0036.wav,53,32,1,4.38,3,train
BASIC5000_0037,data/jsut_ver1.1/basic5000/wav/BASIC5000_0037.wav,82,49,1,6.15,4,test
BASIC5000_0038,data/jsut_ver1.1/basic5000/wav/BASIC5000_0038.wav,44,25,1,3.6,2,train
BASIC5000_0039,data/jsut_ver1.1/basic5000/wav/BASIC5000_0039.wav,68,39,1,4.89,3,train
BASIC5000_0040,data/jsut_ver1.1/basic5000/wav/BASIC5000_0040.wav,30,18,1,2.86,1,val
BASIC5000_0041,data/jsut_ver1.1/basic5000/wav/BASIC5000_0041.wav,36,24,3,3.39,1,train
BASIC5000_0042,data/jsut_ver1.1/basic5000/wav/BASIC5000_0042.wav,33,19,2,2.93,1,train
BASIC5000_0043,data/jsut_ver1.1/basic5000/wav/BASIC5000_0043.wav,58,36,1,4.96,3,train
